wave21	wave20
-54.042	1441.9605
-55.368	1442
-54.303	1442.0395
-55.535	1442.0789
-66.124	1442.1184
-210	1442.1579
-210	1442.1974
-59.434	1442.2368
-210	1442.2763
-70.077	1442.3158
-64.852	1442.3553
-61.873	1442.3947
-210	1442.4342
-69.642	1442.4737
-210	1442.5132
-61.414	1442.5526
-55.337	1442.5921
-56.022	1442.6316
-53.689	1442.6711
-55.528	1442.7105
-56.601	1442.75
-60.318	1442.7895
-210	1442.8289
-210	1442.8684
-62.477	1442.9079
-210	1442.9474
-60.225	1442.9868
-61.613	1443.0263
-210	1443.0658
-210	1443.1053
-210	1443.1447
-67.18300000000001	1443.1842
-70.092	1443.2237
-60.044	1443.2632
-54.028	1443.3026
-55.571	1443.3421
-53.073	1443.3816
-53.787	1443.4211
-54.031	1443.4605
-56.677	1443.5
-66.14700000000001	1443.5395
-210	1443.5789
-73.375	1443.6184
-60.903	1443.6579
-65.627	1443.6974
-210	1443.7368
-210	1443.7763
-73.378	1443.8158
-65.017	1443.8553
-210	1443.8947
-210	1443.9342
-59.12	1443.9737
-54.784	1444.0132
-54.336	1444.0526
-54.868	1444.0921
-56.269	1444.1316
-56.139	1444.1711
-64.616	1444.2105
-65.31999999999999	1444.25
-58.841	1444.2895
-210	1444.3289
-67.20399999999999	1444.3684
-210	1444.4079
-71.774	1444.4474
-64.248	1444.4868
-61.325	1444.5263
-61.64	1444.5658
-64.892	1444.6053
-64.496	1444.6447
-54.157	1444.6842
-53.941	1444.7237
-53.705	1444.7632
-53.635	1444.8026
-54.678	1444.8421
-60.404	1444.8816
-62.975	1444.9211
-59.726	1444.9605
-210	1445
-210	1445.0395
-69.29000000000001	1445.0789
-210	1445.1184
-64.902	1445.1579
-210	1445.1974
-210	1445.2368
-60.933	1445.2763
-210	1445.3158
-59.409	1445.3553
-58.375	1445.3947
-54.374	1445.4342
-52.164	1445.4737
-52.95	1445.5132
-53.376	1445.5526
-56.674	1445.5921
-58.799	1445.6316
-70.136	1445.6711
-72.53100000000001	1445.7105
-210	1445.75
-67.473	1445.7895
-210	1445.8289
-70.627	1445.8684
-57.879	1445.9079
-210	1445.9474
-62.301	1445.9868
-68.94499999999999	1446.0263
-210	1446.0658
-53.732	1446.1053
-53.08	1446.1447
-53.723	1446.1842
-52.975	1446.2237
-53.362	1446.2632
-55.913	1446.3026
-62.704	1446.3421
-64.53100000000001	1446.3816
-58.683	1446.4211
-66.393	1446.4605
-64.289	1446.5
-210	1446.5395
-61.553	1446.5789
-64.06	1446.6184
-210	1446.6579
-60.593	1446.6974
-66.806	1446.7368
-57.035	1446.7763
-53.986	1446.8158
-51.617	1446.8553
-51.768	1446.8947
-52.263	1446.9342
-54.102	1446.9737
-55.761	1447.0132
-64.676	1447.0526
-63.251	1447.0921
-210	1447.1316
-210	1447.1711
-66.61	1447.2105
-210	1447.25
-210	1447.2895
-210	1447.3289
-63.166	1447.3684
-58.272	1447.4079
-64.31399999999999	1447.4474
-61.642	1447.4868
-55.611	1447.5263
-51.411	1447.5658
-51.345	1447.6053
-50.815	1447.6447
-52.482	1447.6842
-53.305	1447.7237
-68.342	1447.7632
-62.235	1447.8026
-63.594	1447.8421
-61.652	1447.8816
-210	1447.9211
-70.43000000000001	1447.9605
-59.926	1448
-66.065	1448.0395
-69.057	1448.0789
-61.924	1448.1184
-62.63	1448.1579
-61.41	1448.1974
-53.861	1448.2368
-51.846	1448.2763
-50.921	1448.3158
-51.896	1448.3553
-52.134	1448.3947
-55.078	1448.4342
-62.598	1448.4737
-210	1448.5132
-61.544	1448.5526
-210	1448.5921
-58.425	1448.6316
